                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4994,                 1.3204,                 1.5883,                0.90901,                0.41767,                0.55188,                 0.2574,                 1.8791,                 1.5674,                 2.0452,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5158,                 1.3565,                 1.5905,                 0.5606,                 0.6183,                 0.6452,                0.29687,                 1.9156,                 1.3711,                 2.1129,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4849,                 1.3463,                 1.5728,                0.45833,                 0.6183,                0.54471,                0.30856,                  1.748,                 1.3134,                 1.9264,               0.000948,               0.000948,               0.000948
                     37,                 1.4521,                 1.2781,                 1.5501,                0.45166,                0.58903,                0.55744,                0.27455,                 1.6979,                 1.5048,                 1.9122,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4463,                 1.2491,                 1.5286,                0.56833,                0.62484,                0.56412,                 0.3176,                 1.7596,                 1.4807,                 1.9537,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.4675,                 1.2528,                  1.545,                0.60207,                0.61421,                0.65708,                0.31121,                 1.8395,                 1.4194,                 2.0526,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.4377,                 1.2514,                 1.5342,                0.57752,                0.62745,                0.68374,                0.32122,                 1.6191,                  1.286,                 1.9196,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.4149,                  1.213,                 1.5145,                0.72925,                0.56846,                0.64881,                0.38551,                 1.6435,                  1.289,                 1.8458,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.4369,                 1.1981,                 1.5214,                0.85966,                0.41176,                0.45374,                0.23229,                 1.8793,                 1.6088,                 2.0633,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4142,                 1.2459,                 1.5219,                0.53943,                 0.7681,                0.69592,                0.35395,                 1.6926,                 1.1656,                 1.9102,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3817,                 1.2164,                  1.506,                0.55179,                 0.6915,                0.79664,                0.45087,                 1.7485,                 1.3601,                 2.0528,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.424,                 1.2263,                 1.5561,                0.63263,                0.66964,                 0.7303,                0.37845,                 1.6618,                  1.187,                 1.9341,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4181,                  1.162,                 1.5396,                0.51326,                0.45582,                0.56936,                0.30092,                  1.783,                 1.2013,                 1.9766,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.3899,                 1.1649,                 1.4999,                0.69835,                0.77392,                0.75674,                0.43269,                 1.7769,                 1.2385,                 1.9453,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.3951,                 1.1731,                 1.4994,                0.61172,                0.56732,                0.62059,                0.33615,                 1.7988,                  1.184,                 1.9918,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.3661,                 1.1295,                 1.5071,                0.89157,                0.50719,                0.62004,                0.34722,                 1.6048,                 1.1565,                 1.8555,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.3673,                 1.1225,                 1.4903,                0.59054,                0.70289,                0.67443,                0.35155,                 1.7995,                  1.075,                 1.9768,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.3417,                 1.1277,                 1.4851,                0.82025,                0.57908,                0.74658,                0.41267,                  1.724,                 1.1386,                 1.9425,             0.00073579,             0.00073579,             0.00073579
                     52,                  1.345,                 1.0735,                  1.469,                0.79845,                 0.6915,                0.72434,                0.39432,                  1.761,                0.98443,                 1.9357,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.3301,                 1.1169,                 1.4809,                0.67929,                0.63137,                0.71191,                0.39231,                 1.5862,                 1.2461,                 1.8498,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.315,                 1.0828,                 1.4508,                0.74032,                0.85359,                0.85429,                0.48443,                 1.7628,                0.93782,                  1.995,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.3288,                 1.0709,                 1.4641,                0.86663,                0.72587,                0.87092,                0.45641,                 1.6829,                 1.0383,                 1.9383,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.3058,                 1.0511,                 1.4503,                0.77069,                0.77165,                0.83931,                0.42679,                 1.6673,                0.99165,                  1.891,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.3201,                 1.0718,                 1.4584,                0.92202,                0.58039,                0.72294,                0.38082,                 1.6476,                0.98033,                 1.8768,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2922,                 1.0374,                  1.434,                0.86895,                0.61895,                0.79706,                0.42566,                 1.6854,                0.96479,                 1.9114,             0.00063676,             0.00063676,             0.00063676
